Groundwater Sustainability Plan,Allocations,Allocation Base,Allocation Description,Trading,Trading Description,Taxes/Fees,Tax Base,Rate Structure,Taxes Description,Pumping Restrictions,Restriction Description,Restriction Description (Just Page Number),Efficiency Incentives,Incentive Page Number,Incentive Description,Other,Notes,Status,Last updated,GSP_ID
San Antonio Creek Valley Groundwater Basin Groundwater Sustainability Plan,M,Multiple,Not specified (410),M,"""the SABGSA will pursue the development and implementation of a GEC (groundwater extraction credit) Marketing and Trading
Program to provide non-de minimis users with increased flexibility in using their annual allocations. The program will enable voluntary permanent transfer of allocations between parties, through an exchange of 
GECs. In addition, the program will provide options for potentially long-term or short-term temporary transfer of GECs, including credits derived from voluntary fallowing or conversion to lower water use crops"" (418)",M,Multiple,Tiered,"pages 388-390 explain different possibilities, none are decided upon yet",N,NA,NA,M,"403, 404","Agricultural Water Use Efficiency Programs: Initiatives that promote increasing water use and irrigation efficiency and achieving reductions in the amount of water used for agricultural irrigation. These programs can include incentives, public education, technical support, training, implementation of best water use practices, and other efficiency-enhancing programs.(403)",,,Review in progress,04/13/2023,87
Butte Valley Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,M,243,243,N,NA,NA,,,Review in progress,04/18/2023,88
Scott Valley Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,M,p.283,283,M,"274, 275",p.274-75,,,Approved,,89
Shasta Valley Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,M,"""Although the GSA has the ability to implement pumping restrictions, the development and implementation of Tier I, Tier II and other Tier III PMA's are designed to maintain sustainability within the basin, making pumping restrictions a last resort under this GSP."" ""Considerably more work ... would need to be done to define the policies and procedures for pumping restrictions... Restrictions may be temporary, seasonal or permanent.""",306 (279 in document),M,298,"""This PMA is likely to be accomplished through a voluntary, incentive-based program."" Incentives are not further specified, but the following efficiency data will be monitored: • Total acreage with improved irrigation efficiency equipment
• Location of fields under improved irrigation efficiency equipment
• Assessment of the increase in irrigation efficiency, with particular emphasis on assessing the
reduction or changes in consumptive water use (evaporation, ET) based on equipment specification, scientific literature, or field experiments
• Cropping systems in fields with improved irrigation efficiency equipment
• Metering of water use",,"p. 273 Permit required for groundwater extraction for use outside the basin from which it was
extracted",Review in progress,03/08/2023,90
East Bay Plain Subbasin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,,Review in progress,04/06/2023,91
Colusa Subbasin Groundwater Sustainability Plan,M,NA,,M,,M,Extraction,NA,"Groundwater extraction fee that would be used to generate well mitigation funds (384). Furthermore, there is a program that will provide subsidies for surface water use, making it cheaper than groundwater (379).",N,NA,NA,Y,330,"The Nature Conservancy (TNC) is partnering with private landowners and the Colusa and Glenn Groundwater Authorities for an on-farm, multi-benefit groundwater recharge incentive program. Program objectives are to benefit: Disadvantaged communities and other communities by replenishing critical domestic and agricultural water supplies, Private landowners economically through incentive payments, Migratory shorebirds through the creation of critical winter habitat on farms, and Groundwater conditions (via groundwater recharge) (330)",,,Review in progress,04/11/2023,92
Bedford-Coldwater Basin Groudwater Sustainability Plan ,N,NA,,N,,N,NA,NA,,M,If an MT (minimum threshold) is reached,212,N,NA,NA,,,Review in progress,04/12/2023,93
Corning Subbasin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,Y,"""restrict new pumping in specific areas""",497,Y,"488, 493, 507",Providing grower education to incentivize conjunctive use of surface water and groundwater (488). OUWUA infrastructure improvements for in-lieu recharge. (507),,,Review in progress,04/10/2023,94
Groundwater Sustainability Plan for Big Valley Basin,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,,Review in progress,04/18/2023,95
Yolo Subbasin Groundwater Agency 2022 Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,,Review in progress,03/17/2023,96
Tule Lake Subbasin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,No info on PMA,Review in progress,,97
Butte Subbasin Groundwater Sustainability Plan (GSP),N,NA,,N,,N,NA,NA,,N,NA,NA,M,"236, 237, 262, 271","Incentivize the use of irrigation systems capable of using both surface water and groundwater. These systems will increase use of surface water and on-farm recharge of surface water, and offset groundwater pumping (236 & 262). Facilitate financing of capital improvements for on-farm irrigation systems (237). GSAs may consider offering financial incentives to growers to compensate them for recharging groundwater through field flooding in the course of normal farming operations, with multiple benefits to the underlying aquifer, waterbirds migrating along the Pacific Flyway, and all beneficial users of groundwater in the subbasin (271)",,,Review in progress,03/21/2023,98
Wyandotte Creek Groundwater Subbasin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,202,Voluntary irrigation efficiency measures funded by grants,,,Review in progress,04/11/2023,99
North American Subbasin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,,Review in progress,04/12/2023,100
Groundwater Sustainability Plan Sonoma Valley Groundwater Subbasin,N,NA,,N,,N,NA,NA,,M,"""should the above-described projects and management actions not be sufficient to eliminate undesirable results during implementation of the GSP, the GSA has authorities to limit groundwater pumping."" (390)",390,Y,373,"""The water-use efficiency and alternate include smaller-scale dispersed land-owner projects,
such as turf removal, rainwater harvesting, and stormwater capture and reuse. These projects are initially planned as voluntary, incentive-based projects focused on groundwater users, primarily rural, residential, agricultural, and commercial/industrial groundwater users"" (373)",,,Approved,03/08/2023,101
Owens Valley Groundwater Basin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,,Review in progress,,103
Final Groundwater Sustainability Plan for the Yucaipa Groundwater Subbasin,Y,Historic Pumping,,N,,Y,Extraction,NA,,N,NA,NA,N,NA,NA,,,Review in progress,,104
North San Benito Groundwater Sustainability Plan,N,NA,,N,,Y,Acreage,NA,"""The Groundwater Management Fee will be charged on the basis of land acreage"" (324) There is also mention of a future extraction fee (315)",M,"""Restrict groundwater pumping near the critical riffle when San Benito River flow is receding through the minimum passage flow""",321,N,NA,NA,Outdoor water use restrictions and prohibitions in drought periods (309),,Review in progress,04/18/2023,105
Groundwater Sustainability Plan for the Cosumnes Subbasin,N,NA,,M,,N,NA,NA,,N,NA,NA,M,352,"Expand incentives to expand the voluntary land fallowing program, or shift land use to growing less ater intensive crops (land repurposing); Provide technical and financial incentives that support landowners wanting to implement local water use efficiency/conservation projects (352)",,,Review in progress,,106
Turlock Subbasin Groundwater Sustainability Plan,M,NA,Not specified (590-591),M,Carry-over of pumping allocations and maybe a groundwater credit market (598) ,M,Extraction,Tiered,"Extraction above minimum/sustainable threshold, so essentially another form of allocation (595)",M,"""Pumping reduction would be implemented in phases to provide the aquifer response necessary to address the net groundwater deficit remaining after implementation of feasible projects and water conservation measures""",581,N,NA,NA,,,Review in progress,04/14/2023,110
South American Subbasin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,,Review in progress,03/17/2023,111
Sutter Subbasin Grounwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,M,"483, 484, 512","""Incentivize the use of irrigation systems capable of using both surface water and groundwater."" (484). System modernization PMA: ""Upgrade and modernize system infrastructure to improve system operability and efficiency, reduce operational spillage."" (483) An incentive program to encourage adoption of dual source systems can be developed, offsetting the cost of the additional components needed for these systems. Incentivizes may be funded through local district fees, through a jointly funded regional program, or through external programs such as those offered by the Natural Resources Conservation Service (NRCS), which has provided funding in the past to growers who convert from older and less efficient irrigation systems (such as flood systems) to newer, more efficient systems (such as sprinkler systems) (512).",,,Review in progress,03/14/2023,112
Salinas Valley Groundwater Basin Langley Area Subbasin Groudnwater Sustainability Plan,Y,Multiple,"""A hybrid allocation structure based on a per connection basis for small parcels and a per acreage basis for large parcels"" ""Under this allocation structure, extractors with parcels larger than 5 acres receive an allocation based on acreage, and extractors with parcels smaller than 5 acres receive an allocation on a per connection basis, assuming one connection per parcel."" ""If pumping needs to be reduced to meet the sustainable yield, all users would reduce water usage by the same percentage, except for de minimis users"" (279-280)",N,,M,Acreage,NA,"""Pumping allocations can be used as the basis for pumping fees, which could raise funds for projects and management actions"" (280)",N,NA,NA,Y,258,"Education, outreach and help with installing residential, decentralized in lieu recharge projects, such as rainwater harvesting, graywater reuse, and recharge features on homeowner properties. (258)",,,Review in progress,04/18/2023,113
Salinas Valley Groundwater Basin Eastside Aquifer Subbasin Groundwater Sustainability Plan,M,Extraction,,N,,M,NA,NA,,N,NA,NA,Y,333,This would be a program to incentivize and/or assist with conservation and agricultural BMPs to reduce groundwater pumping. It may also improve groundwater quality. SVBGSA acknowledges that BMPs are being developed as part of Ag Order 4.0 and will work to complement and not replicate those efforts. Potential practices that will be part of a program include: (333),,,Review in progress,,114
Salinas Valley Groundwater Basin Upper Valley Aquifer Subbasin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,M,"Unspecified. However, they want to establish a technical advisory committee (TAC) whose job it will be to review and triggers and recommend actions (such as voluntary or mandatory pumping restrictions).",261,Y,264,1) incorporating ET data that indicates crops' theoretical water needs into irrigation practices and 2) education on and promotion of irrigation practices that reduce water use and increase water retention. The GSA could support the utilization of these tools through securing funding or coordinating with existing agricultural extension specialists. (264),,,Review in progress,04/09/2023,115
Salinas Valley Groundwater Basin Forebay Aquifer Subbasin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,M,not specified,288,Y,291,This would be a program to incentivize and/or assist with conservation and agricultural BMPs to reduce groundwater pumping. It may also improve groundwater quality. SVBGSA acknowledges that BMPs are being developed as part of Ag Order 4.0 and will work to complement and not replicate those efforts. Potential practices that will be part of a program include: Evapotranspiration Data and Education & Outreach (291),,,Review in progress,04/06/2023,116
Solano Subbasin Groundwater Sustainability Plan,M,NA,,M,,M,Extraction,NA,"""A financial incentive could also include groundwater extraction fees"" (513)",N,NA,NA,Y,484,"Current efforts within the Solano Subbasin include rebates and programs to help residents save water and money, water-wise tips, events and workshops, and resources for schools (484)",,,Review in progress,04/11/2023,117
San Luis Obispo Valley Basin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,M,"""Mandatory pumping limitations may be required if the criteria for undesirable results for the sustainability indicators as described in Chapter 8 are met.""",334,Y,331-334,"Not very specific, mainly concerned with irrigation practices, but also a crop conversion program is mentioned.",,,Review in progress,04/09/2023,118
Elsinore Valley Subbasin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,,Review in progress,,119
East Contra Costa Subbasin GSP,M,Historic Pumping,,M,,M,,,,N,,NA,N,NA,,,,Review in progress,04/20/2023,120
San Gorgonio Pass Subbasin Groundwater Sustainability Plan,M,NA,,N,,M,NA,NA,,N,NA,NA,N,NA,NA,,,Review in progress,,121
Tracy Subbasin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,,Review in progress,04/14/2023,122
Groundwater Sustainability Plan for the White Wolf Subbasin,M,Acreage,"Allocations based on acreage. The policy would identify and forecast the demands associated with prior rights, domestic and environmental uses. (324)",M,"A banking program that gives credits to those who for example use surface water recharge instead of groundwater. Trading may be executed through short- and long-term leases, permanent transfers , inter-annual water exchanges, or dry-year option contracts. A pumping allocation methodology may also be developed, including a market system for trading and/or transferring of allocations between water users. (325)",M,Extraction,Tiered,The potential fee structures would affect groundwater users differently. (325),M,may set binding pumping limitations. may purchase and permanently fallow previously irrigated acreage. ,"324, 325",M,324,"""may adopt a management action to provide subsidies to incentivize groundwater users to convert land to alternative land uses and reduce groundwater extractions. The subsidy program would be voluntary, and subsidies could be provided to growers willing to implement one or more of the following:"" (324)",,,Review in progress,04/06/2023,123
Napa Valley Subbasin Groundwater Sustainability Plan,N,NA,,N,,M,NA,NA,,Y,p.1018,1018,N,337,"p. 337, many programs under consideration",,,Approved,,124
Sierra Valley Subbasin Groundwater Sustainability Plan,M,Other,"""Normally, allocations would not be required for typical residential water 
uses below a threshold, such as 2 acre-feet (~650,000 gallons) per year. Allocations can be initially assigned to users based on Historic water uses and irrigated acres, along with considerations for supplemental surface water or treated effluent water sources. Shares are managed on an annual use audit, and duties may be fixed or variable depending on the water 
year and anticipated irrigation water requirements for the growing season."" (278)",M,Not specified,N,NA,NA,,N,NA,NA,M,"268, 269, 277","Increased irrigation efficiency through equipment improvements and low-water crop types. (268-269) Additionally, the PMA may provide incentives and rebates for water-efficient appliances, utility improvements, leak detection, and improved metering (277).",,,Review in progress,04/10/2023,125
Big Valley Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,,Review in progress,04/10/2023,127
Salinas Valley Groundwater Basin Monterey Subbasin Groundwater Sustainability Plan,Y,Acreage,A per connection allocation for small parcels (5 acres or less) and a per acreage allocation for large parcels (more than 5 acres). There is an assumed one connection per parcel. Allocation for municipal water systems would be on a per connection basis. De minimis extraction would be exempt from allocations. (487),N,,M,Acreage,NA,"""For example, a fee structure could be defined such that each extractor has a pumping allowance based on their allocation, and a penalty or disincentive fee is charged for extraction over that amount."" (487)",N,NA,NA,M,"468, 505","Adoption of water use standards through which each urban retail water agency will anually calculate its own objective as established by Assembly Bill 1668 and Senate Bill 606. (468) Engaging property owners through outreach, help identify opportunities for residential-scale rainwater harvesting or graywater reuse systems. This project primarily includes workshops to do outreach and education for homeowners, but could also help install or incentivize installation in the future. For example, it could also include the development of a fund to provide financial incentives to help bring down individual costs associated with rainwater harvesting or graywater systems. This could also be expanded to include other residential-scale conservation efforts, such as xeriscaping or lawn buy-back efforts.(505)",,,Review in progress,04/09/2023,128
Groundwater Sustainability Plan for the Santa Monica Groundwater Subbasin,M,NA,"""In the event that groundwater production rates approximately equal or exceed the estimated sustainable yield of 
the Subbasin, the City of Santa Monica and SMBGSA may develop a groundwater allocation in the Subbasin. Any 
groundwater allocation would be developed in conjunction with the stakeholders in the Subbasin and is anticipated to incorporate Historic groundwater production from existing stakeholders and the City of Santa Monica."" (370)",N,,M,NA,NA,"""In the event that groundwater conditions within the Subbasin warrant additional management by the SMBGSA, the GSA may impose a replenishment fee, or a water purchase / pumping offset fee for groundwater users in the Subbasin. In the case of the replenishment fee, the fees would be used to develop and support projects that would 
increase recharge, and therefore increase the sustainable yield in the Subbasin"" (365)",N,NA,NA,Y,371,"marketing and messaging program, flow measuring and irrigation controller device inventives, water use consultations, rebate incentive programs for fixtures.
""New incentives and programs the City will implement to further reduce water use in the Subbasin moving forward include a partnership with the Discovery Science Center of Los Angeles to educate students and their families on water use efficiency and conservation, replacement of multi-family common area laundry machines with more efficient apparatus, and installation of City approved greywater systems at private residences and businesses to provide a cost-effective alternative water supply for irrigation and other non-potable uses."" (371) Also, improved efficiency of water treatment plant, which is expected to lower groundwater demand. (375)",,,Review in progress,04/10/2023,129
Groundwater Sustainability Plan for the Ojai Valley Groundwater Basin,M,Historic Pumping,"Historic groundwater extraction as base for allocations, may include fees and other penalties for violations. Allocations will only be established in the event that groundwater extraction rates regularly exceed sustainable yield.",N,,M,Extraction,NA,"""These costs are expected to be funded using a combination of groundwater extraction charges, including quarterly fixed charges and variable pumping fees"" (311)",M,NA,298,M,296,extremely vague section on conservation that could include (but never specifies including) incentives,,,Review in progress,04/12/2023,130
Santa Clara River Valley East Groundwater Subbasin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,M,Minimum thresholds are reached or undesirable results confirmed and are due to groundwater extraction. ,505-507,Y,503,"""community education and engagement, rebates and incentives, and regulatory mechanisms."" For example, ""rebates and incentives for turf conversion, smart irrigation controllers, irrigation distribution system efficiency upgrades, home and business check-ups, rebates for plumbing fixture upgrades and water efficiency kits.""",,,Review in progress,04/09/2023,131
Groundwater Sustainability Plan Petaluma Valley Groundwater Basin,N,NA,,N,,N,NA,NA,,M,"""should the above-described projects and management 
actions not be sufficient to eliminate undesirable results during implementation of the GSP, the 
GSA has authorities to limit groundwater pumping."" (320)",320,Y,310,"""The water-use efficiency and alternate include smaller-scale dispersed land-owner projects,
such as turf removal, rainwater harvesting, and stormwater capture and reuse. These projects are initially planned as voluntary, incentive-based projects focused on groundwater users, primarily rural, residential, agricultural, and commercial/industrial groundwater users"" (310) existing tools and BMPs in existing programs like LandSmart Program and Sustainable Winegrowing Program include: ""conservation rebate programs for high-efficiency appliances and fixtures, landscape water budgets, landscape and irrigation design and irrigation scheduling"" ",,,Approved,03/08/2023,132
Atascadero Basin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,"p. 309, Because the Basin is currently being managed sustainably, as evidenced by Historic groundwater
levels in the Basin, there are no projects or management actions that are required to achieve
sustainability.",Review in progress,03/09/2023,133
Antelope Subbasin Groundwater Sustainability Plan,M,Extraction,,M,,M,Extraction,Tiered,,M,"If other PMA's fail to ensure sustainability, land fallowing can be enforced.",383 (4-53 in document),M,381 (4-51 in document),"This management action would offer incentives for urban, residential, and commercial projects that improve water use efficiency. Residential and municipal water in the Subbasin is primarily supplied by groundwater. Improvements in residential and municipal water use efficiency thus support in-lieu groundwater recharge. Potential incentives and offers through this management action may include rebates for high efficiency appliances and incentives for lawn removal, low-water landscape installation, rain barrels, graywater reuse, or other activities that offset groundwater demand",Grower education: educating farmers on more efficient groundwater use practices. p 358,,Review in progress,03/13/2023,134
Groundwater Sustainability Plan Santa Rosa Plain Groundwater Subbasin,N,NA,NA,N,NA,N,NA,NA,NA,N,NA,NA,M,385,"""The Group 1 projects represent voluntary, incentive-based water-use efficiency and alternate water source projects focused on non-municipal groundwater users"" (385)",Assessment of policy options,"p 388: ""should the above-described projects and management actions not be sufficient to eliminate undesirable results ... the GSA has authorities to limit groundwater pumping""  p 391: Assesment of Potential Policy Options including ""Study of water markets"" and ""stronger demand management actions"" in the case that current projects aren't successful.",Approved,02/28/2023,136
Bowman Subbasin Groundwater Sustainability Plan,M,NA,p. 348 not specified,N,NA,M,Extraction,Tiered,"Tax base is extraction, rate structure is tiered. Otherwise unspecified. (p 348)",M,"""Curtailing and/or restricting groundwater extractions by creating and enforcing or incentivizing a land fallowing program""  ""[a] backstop measure that would be considered and implemented only if other planned PMA's are insufficient to maintain sustainability"" ",348,M,p 382 (4-52 in document),"Offer incentives for urban, residential, and commercial projects that
improve water use efficiency, such as high efficiency appliance rebates
and incentives for lawn removal, low-water landscape installation, rain
barrels, graywater reuse, etc.",,,Review in progress,03/09/2023,137
Bear Valley Basin Groundwater Sustainability Plan,N,NA,,N,,Y,Extraction,Tiered,"""Tiered water rates where the cost per unit of water increases as the total volume 
of water used increase has been shown to encourage conservation"" (151)",N,NA,NA,Y,151,"Bill inserts, media advertising, public signs, school programs, social media postings, community events, rebates and outdoor conservation audits.",,,Review in progress,04/18/2023,138
Los Molinos Subbasin Groundwater Sustainability Plan,M,Extraction,,M,,M,Extraction,Tiered,,N,"If other PMA's fail to ensure sustainability, land fallowing can be enforced.",350,M,"349, 350, 351","As part of the Assistance and Incentives for On-Farm Irrigation Infrastructure Improvements PMA: ""Assist growers with conversion to efficient and dual-source irrigation systems. Related efforts may include soil mapping to customize irrigation timing and duration and grower education to encourage soil management to improve moisture retention"" (349). As part of Incentives for Use of Available Surface Water and Recycled Water PMA: ""Incentivize use of surface water for irrigation when available to allow groundwater levels to recover in between drought years when surface water is not available."" ""Provide incentives for use of recycled water of suitable quality (e.g., treated wastewater) for groundwater recharge and for urban or agricultural irrigation to decrease groundwater demand"" (351).","As part of Demand Management PMA: ""Promote conversion of agricultural lands to less water intensive crops to reduce water while continuing to promote agriculture land use. Restrict land use changes that increase water demand in the Subbasin. Would be considered if other planned PMAs are insufficient to maintain sustainability."" (350)",,Review in progress,03/14/2023,139
Red Bluff Subbasin Groundwater Sustainability Plan,M,NA,,N,,M,Extraction,Tiered,,N,NA,NA,M,373,"This project would incentivize expanded use of CVP supply by irrigators in Proberta WD and Thomes Creek WD, with the goal of using the full supply available to each district on the Corning Canal. Encouraging irrigators to use more surface water would offset groundwater demand, providing in-lieu recharge benefits to Subbasin. (352) This education program could be coupled with an incentive program to encourage additional use of surface water in-lieu of pumping groundwater. This would be particularly effective in instances where groundwater is, from the perspective of the grower, effectively cheaper than surface water. (373)",,,Review in progress,,140
Riverside-Arlington GSP,N,,,N,,N,,,,M,NA,192,Y,190,"Rebate programs, Qualified Water Efficient Landscaper Program, Irrigation Efficiency, Low impact development standards",,,Review in progress,04/20/2023,144
San Joaquin Pleasant Valley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The file is damaged and cannot be opened,Review in progress,04/20/2023,145
San Gabriel Valley GSP,Y,NA,One-year carryover of unused rights ,Y,Transfer of Allowed Pumping Allocation and stored water between Parties through sales and leases,Y,Extraction,Tiered,NA,N,NA,NA,N,NA,NA,,,Review in progress,04/20/2023,149
South of Kern River GSP,N,NA,,N,NA,N,NA,NA,NA,N,NA,NA,N,NA,NA,,,Inadequate,04/20/2023,150